0001.hk,0002.hk,0003.hk,0004.hk,0005.hk,0006.hk,0007.hk,0008.hk,0009.hk,0010.hk,0011.hk,0012.hk,0014.hk,0015.hk,0016.hk,0017.hk,0018.hk,0019.hk,0020.hk,0021.hk,0022.hk,0023.hk,0024.hk,0025.hk,0026.hk,0027.hk,0028.hk,0029.hk,0030.hk,0031.hk,0032.hk,0033.hk,0034.hk,0035.hk,0036.hk,0037.hk,0038.hk,0039.hk,0040.hk,0041.hk,0042.hk,0043.hk,0044.hk,0045.hk,0046.hk,0047.hk,0048.hk,0050.hk,0051.hk,0052.hk,0053.hk,0054.hk,0055.hk,0056.hk,0057.hk,0058.hk,0059.hk,0060.hk,0061.hk,0062.hk,0063.hk,0064.hk,0065.hk,0066.hk,0068.hk,0069.hk,0070.hk,0071.hk,0072.hk,0073.hk,0075.hk,0076.hk,0077.hk,0078.hk,0079.hk,0081.hk,0082.hk,0083.hk,0084.hk,0085.hk,0086.hk,0087.hk,0088.hk,0089.hk,0090.hk,0091.hk,0092.hk,0093.hk,0094.hk,0095.hk,0096.hk,0097.hk,0098.hk,0099.hk,0100.hk,0101.hk,0102.hk,0103.hk,0104.hk
101.75836,62.526,13.28431,40.24779,57.178,66.678,0.72,4.15303,1.33,23.958,140.308,40.768,29.617,0.562,89.198,7.26128,0.842,82.18,31.201,0.214,0.265,28.0377,0.275,12.578,77.44,24.45,4.218,3.677,0.16062,1.039,10.021,0.113,6.744,2.787,0.89,0.48,4.919,0.76,0.82531,24.412,2.73,0.76321,52.56,8.447,2.746,0.11694,0.275,8.837,11.845,23.784,80.06,26.00157,0.98,1.46,1.8,0.33,0.65,0.99,3.5,19.48,0.495,0.32942,0.46,36.687,6.907,7.4271,0.72,13.204,1.51,0.89,5.9,0.145,1.12571,4.49,0.93,3.26278,0.5,10.80833,0.57,2.952,4.822,14.827,5.933,3.976,1.238,0.136,0.129,0.57,0.58,2.336,1.426,0.5659,2.59,2.616,7.667,16.356,3.35,0.209,0.192
100.20183,61.529,13.03954,39.68619,55.792,64.995,0.69,4.0435,1.26,23.435,136.027,40.6393,29.804,0.552,88.817,7.26128,0.832,79.918,30.867,0.209,0.26,26.5799,0.275,12.578,77.34,24.4,4.083,3.51,0.15052,1.009,9.886,0.11,6.673,2.693,0.85,0.455,4.642,0.72,0.80589,23.833,2.73,0.74459,52.37,8.428,2.644,0.11694,0.27,8.78,11.721,23.345,80.248,25.72148,0.92,1.44079,1.8,0.305,0.63,0.97,3.4,19.57,0.5,0.32014,0.44,35.922,7.024,7.24069,0.7,13.088,1.51,0.84,5.8,0.138,1.12571,4.45,0.91,3.00415,0.48,10.61804,0.57,2.814,4.708,14.658,5.914,3.909,1.199,0.138,0.124,0.57,0.72,2.268,1.426,0.5567,2.58,2.616,7.763,16.041,3.28,0.204,0.19
99.81269,61.814,13.03954,39.77979,55.331,65.042,0.7,4.07088,1.26,23.721,137.549,40.0385,29.664,0.562,88.674,7.26128,0.832,79.682,30.915,0.215,0.26,26.4341,0.27,12.294,77.09,24.5,4.093,3.5,0.1496,1.009,9.886,0.113,6.647,2.674,0.83,0.445,4.771,0.63,0.80589,23.785,2.73,0.73528,52.17,8.164,2.644,0.11402,0.3,8.856,11.721,23.394,79.776,25.72148,0.93,1.42158,1.77,0.305,0.63,0.96,3.4,19.85,0.495,0.32014,0.455,36.304,7.024,7.37804,0.72,13.184,1.51,0.81,5.81,0.135,1.12571,4.34,0.9,2.96436,0.49,10.67513,0.57,2.775,4.671,14.452,5.866,3.909,1.15,0.139,0.129,0.56,0.72,2.268,1.426,0.5659,2.64,2.616,7.485,16.152,3.25,0.206,0.184
99.71541,61.434,12.88226,39.59259,54.73,65.369,0.68,4.06175,1.25,23.816,135.361,39.8239,29.71,0.562,87.769,6.93898,0.823,78.975,30.915,0.213,0.26,25.8024,0.27,12.332,77.09,24.05,3.987,3.648,0.14868,0.989,9.886,0.111,6.638,2.731,0.8,0.45,4.711,0.59,0.80589,23.592,2.73,0.74459,51.88,8.095,2.644,0.11402,0.285,8.732,11.721,23.345,79.588,25.72148,0.92,1.44079,1.77,0.3,0.63,0.94,3.4,19.81,0.48,0.32014,0.455,35.636,7.024,7.27993,0.71,13.184,1.51,0.84,5.8,0.13,1.12571,4.2,0.9,2.95441,0.485,10.63707,0.59,2.784,4.69,14.434,5.885,3.919,1.15,0.14,0.129,0.57,0.69,2.287,1.426,0.5659,2.69,2.635,7.562,15.782,3.17,0.205,0.184
97.67246,60.959,12.84727,39.17139,52.929,64.902,0.67,4.02524,1.14,23.008,130.7,39.4377,29.197,0.552,87.34,6.73991,0.823,77.185,30.198,0.213,0.25,24.9764,0.27,12.389,74.51,22.45,3.987,3.618,0.14593,0.93,9.712,0.105,6.567,2.646,0.76,0.435,4.415,0.56,0.79618,22.82,2.73,0.71667,50.23,7.89,2.551,0.11207,0.275,8.626,11.632,23.15,78.36,25.20799,0.87,1.42158,1.77,0.3,0.63,0.89,3.3,19.85,0.465,0.2923,0.44,34.633,7.024,7.0739,0.71,13.088,1.41,0.8,5.71,0.121,1.12571,4.1,0.87,2.8052,0.46,10.44678,0.56,2.538,4.548,14.078,5.856,3.919,1.072,0.138,0.123,0.56,0.63,2.22,1.426,0.5476,2.64,2.616,7.188,15.392,3,0.192,0.181
96.65098,60.675,12.86477,38.3758,53.021,64.995,0.68,3.89746,1.17,22.96,131.271,39.0944,29.291,0.542,87.244,6.80627,0.832,76.949,29.768,0.213,0.25,24.8306,0.26,12.389,75.45,22.05,3.987,3.618,0.14593,0.96,9.77,0.102,6.4,2.608,0.77,0.45,4.494,0.62,0.80589,22.772,2.15,0.69805,50.28,7.704,2.653,0.10914,0.27,8.655,11.898,23.93,78.502,25.20799,0.88,1.40237,1.77,0.3,0.63,0.88,3.3,20.14,0.455,0.30158,0.44,35.015,7.024,7.00522,0.7,13.107,1.49,0.76,5.73,0.122,1.14302,4.07,0.88,2.88478,0.465,10.14233,0.57,2.558,4.576,14.078,5.933,3.871,1.14,0.139,0.127,0.57,0.65,2.22,1.426,0.5567,2.72,2.616,7.284,15.04,2.78,0.195,0.181
95.28902,59.583,12.655,37.34621,52.051,63.592,0.67,3.7788,1.15,22.295,128.512,37.807,29.151,0.542,85.815,6.58824,0.813,74.923,28.669,0.213,0.25,24.0045,0.265,12.2,74.71,21.4,3.929,3.618,0.13675,0.9,9.634,0.106,6.312,2.542,0.73,0.425,4.188,0.57,0.77676,22.048,2.37,0.67944,48.97,7.685,2.486,0.09355,0.265,8.539,11.596,23.735,77.463,24.60113,0.85,1.34474,1.78,0.29,0.63,0.87,3.1,19.57,0.43,0.28302,0.41,34.633,7.073,6.92673,0.69,13.127,1.49,0.71,5.76,0.117,1.13436,3.91,0.88,2.70572,0.445,9.81884,0.56,2.391,4.482,13.816,5.856,3.852,1.257,0.134,0.123,0.61,0.63,2.172,1.421,0.5567,2.66,2.606,7.379,14.743,2.6,0.2,0.185
94.36483,59.63,12.58511,36.73781,52.19,62.844,0.67,3.85182,1.12,21.914,127.085,36.9058,29.151,0.532,85.577,6.55032,0.832,73.274,28.239,0.212,0.24,23.7616,0.265,12.011,74.46,21.6,3.852,3.461,0.14134,0.93,9.518,0.105,6.339,2.485,0.71,0.415,4.138,0.495,0.78647,22.241,2.32,0.67013,48.58,7.675,2.486,0.09258,0.265,8.501,11.632,23.394,77.463,24.78785,0.81,1.32553,1.76,0.285,0.63,0.85,3.1,19.81,0.43,0.27374,0.4,34.489,6.751,6.97578,0.68,13.184,1.49,0.65,5.84,0.115,1.12571,3.87,0.87,2.69577,0.445,9.68564,0.55,2.381,4.444,13.61,5.856,3.862,1.296,0.13,0.119,0.64,0.63,2.162,1.416,0.5385,2.74,2.606,7.284,14.632,2.56,0.186,0.184
96.35914,60.152,12.655,36.50381,52.698,63.966,0.67,4.02524,1.03,22.295,127.085,37.2921,29.291,0.552,85.767,6.63564,0.842,73.179,29.481,0.2,0.236,24.1503,0.265,12.011,74.56,21.65,3.89,3.343,0.14042,0.91,9.509,0.106,6.224,2.476,0.74,0.425,4.138,0.485,0.78647,22.337,2.36,0.59567,48.97,7.685,2.523,0.09745,0.26,8.578,11.65,23.394,78.219,25.25467,0.82,1.31592,1.76,0.28,0.63,0.85,3.1,19.76,0.425,0.28302,0.41,35.062,6.751,7.04446,0.68,13.415,1.49,0.64,5.8,0.115,1.14302,4.02,0.87,2.65598,0.455,9.81884,0.55,2.263,4.519,13.629,5.78,3.881,1.247,0.131,0.12,0.65,0.64,2.133,1.416,0.5567,2.7,2.606,7.284,14.613,2.58,0.194,0.184
95.24038,59.915,12.74239,36.36341,52.005,65.884,0.63,3.99786,1.04,21.962,127.371,36.82,29.151,0.522,85.1,6.48397,0.852,72.331,29.625,0.205,0.236,23.6158,0.249,11.746,74.46,21.6,3.871,3.51,0.14042,0.93,9.363,0.104,6.074,2.485,0.74,0.42,4.138,0.49,0.79618,22.241,2.36,0.59567,49.07,7.567,2.523,0.09647,0.26,8.453,11.65,22.76,78.03,24.55444,0.82,1.29671,1.76,0.28,0.63,0.85,3.1,19.71,0.425,0.27838,0.41,34.824,6.751,6.92673,0.73,13.589,1.49,0.57,5.71,0.113,1.169,4,0.87,2.68583,0.44,9.72369,0.55,2.283,4.406,13.273,5.761,3.862,1.208,0.133,0.121,0.71,0.61,2.123,1.416,0.5476,2.72,2.606,7.274,14.539,2.53,0.2,0.184
