0001.hk,0002.hk,0003.hk,0004.hk,0005.hk,0006.hk,0011.hk,0012.hk,0016.hk,0017.hk,0019.hk,0023.hk,0027.hk,0066.hk,0083.hk,0101.hk,0135.hk,0144.hk,0151.hk,0267.hk,0293.hk,0386.hk,0388.hk,0494.hk,0688.hk,0700.hk,0762.hk,0823.hk,0836.hk,0857.hk,0883.hk,0939.hk,0941.hk,0992.hk,1038.hk,1044.hk,1088.hk,1109.hk,1113.hk,1299.hk,1398.hk,1880.hk,1928.hk,2018.hk,2318.hk,2319.hk,2388.hk,2628.hk,3328.hk,3988.hk
86.11353,70.264,13.54125,50.35893,62.05,66.343,144.3,40.3102,97.05,8.2,73.007,29.7,33.8,37.005,11.50893,15.978,5.746,18.682,4.959,10.868,10.2,5.5,181.288,3.41,20.17474,189.1889,9.03,50.4,11.678,5.78,9.465,5.97,81.004,4.7,60.109,56.95,14.233,16.966,46.53,43.189,4.65,4.36,31.835,69.549,38.8,14.94,27.202,19.992,5.61,3.44
88.95459,71.546,13.56096,52.55694,62.798,66.926,146.8,40.8477,99.724,8.43,74.782,30.75,33.35,37.643,11.78625,16.425,5.766,18.915,4.949,10.829,10.4,5.57,182.377,3.55,20.37109,188.8897,9.13,50.9,11.659,5.8,9.553,5.86,80.806,4.79,60.109,58,14.272,17.121,47.22,43.189,4.68,4.41,31.741,69.648,39.35,15.06,27.741,20.586,5.67,3.48
88.3178,71.99,13.54125,53.72921,63.246,66.683,145.5,40.5545,99.922,8.46,74.979,30.7,33.35,37.593,11.80606,16.445,5.815,19.012,5.089,10.907,10.52,5.52,180.695,3.59,20.322,188.4908,9.1,51.05,11.716,5.73,9.562,5.83,81.053,4.9,60.011,58.6,14.74,17.121,47.71,42.992,4.65,4.4,31.552,70.536,39.25,14.86,27.79,20.388,5.65,3.46
88.85662,72.631,13.6398,53.77806,63.695,66.489,148.4,40.8477,101.606,8.46,75.817,31,34.2,37.79,11.84568,16.484,5.885,19.361,4.999,11.123,10.54,5.71,183.366,3.58,20.61652,192.7792,9.21,52.5,11.754,5.97,9.719,5.85,83.073,4.98,60.109,58.1,15.345,17.51,48.1,43.88,4.71,4.51,32.118,73.054,39.75,14.46,28.231,20.883,5.73,3.5
88.3178,72.483,13.65951,54.95033,63.545,66.974,148.2,40.7988,102.398,8.48,75.718,31.2,34,37.544,11.80606,16.814,5.875,19.468,4.999,11.084,10.46,5.82,183.465,3.58,20.96013,194.5743,9.22,52.95,11.659,6.04,9.709,5.83,82.777,4.96,60.109,59.4,15.072,17.608,48.44,44.226,4.73,4.45,31.788,74.041,39.7,14.54,27.79,20.883,5.74,3.52
88.17085,72.73,13.83691,54.8038,63.496,67.945,148.8,41.092,102.992,8.5,76.113,31.3,35.45,37.643,11.96453,16.775,5.924,19.342,4.88,11.221,10.54,5.87,183.663,3.5,21.25465,195.073,9.27,52.6,11.754,6.18,9.621,5.83,82.777,5.02,59.963,59.35,15.013,17.783,48.78,44.769,4.68,4.48,32.638,73.794,39.7,14.52,28.084,20.784,5.69,3.5
89.10154,74.456,14.25083,56.46452,63.147,68.964,148.7,41.9226,103.685,8.69,76.408,31.75,35.85,38.084,12.28147,16.97,5.944,19.759,4.999,11.142,10.56,5.9,185.543,3.55,21.59826,197.4665,9.1,53.3,12.039,6.18,9.494,5.9,82.876,5.01,60.255,59.8,15.228,17.997,49.57,45.608,4.71,4.63,33.346,74.041,39.8,14.78,28.427,20.883,5.72,3.51
90.37512,74.456,14.27054,56.61105,63.645,69.012,149.5,42.0692,104.676,8.94,77,32,36.25,38.084,12.67765,17.3,5.964,19.759,4.91,11.24,10.54,5.87,186.335,3.57,21.99096,200.259,8.93,53.2,12.228,6.17,9.602,5.94,83.763,5,60.109,60.05,15.403,18.328,50.74,45.855,4.76,4.76,33.677,74.09,40.2,15.04,28.574,21.328,5.75,3.53
89.73833,73.815,14.1917,55.97607,63.745,67.993,149.2,41.9226,105.369,8.98,77.148,31.65,35.45,37.692,12.69746,17.494,5.974,19.954,4.999,11.24,10.54,5.88,184.653,3.53,22.23639,198.2644,8.83,52.45,12.437,6.12,9.494,5.91,83.615,5.11,59.475,59.8,15.345,18.425,49.76,45.657,4.77,4.72,32.827,74.238,40.05,14.94,28.133,21.13,5.74,3.52
90.17919,74.258,14.29025,56.6599,63.795,68.479,150,42.6067,105.666,9,77.444,31.7,35.5,38.084,12.67765,17.611,6.004,19.759,4.949,11.28,10.54,6.09,184.554,3.54,22.58,199.1619,8.92,52.35,12.702,6.28,9.719,5.87,84.108,5.12,59.378,60.1,15.969,18.464,49.22,45.805,4.77,4.61,32.921,74.041,40.45,15.08,28.721,21.328,5.79,3.54
