0001.hk,0002.hk,0003.hk,0004.hk,0005.hk,0006.hk,0011.hk,0012.hk,0016.hk,0017.hk,0019.hk,0023.hk,0027.hk,0066.hk,0083.hk,0101.hk,0135.hk,0144.hk,0151.hk,0267.hk,0293.hk,0386.hk,0388.hk,0494.hk,0688.hk,0700.hk,0762.hk,0823.hk,0836.hk,0857.hk,0883.hk,0939.hk,0941.hk,0992.hk,1038.hk,1044.hk,1088.hk,1109.hk,1113.hk,1299.hk,1398.hk,1880.hk,1928.hk,2018.hk,2318.hk,2319.hk,2388.hk,2628.hk,3328.hk,3988.hk
0.032992028,0.018245474,0.001455552,0.043646877,0.012054795,0.008787664,0.017325017,0.013334094,0.027552808,0.02804878,0.024312737,0.035353535,-0.013313609,0.017240913,0.024096071,0.027975967,0.003480682,0.012471898,-0.002016536,-0.003588517,0.019607843,0.012727273,0.006007016,0.041055718,0.009732467,-0.001581488,0.011074197,0.009920635,-0.001626991,0.003460208,0.009297412,-0.018425461,-0.002444324,0.019148936,0,0.018437226,0.002740111,0.009135919,0.014829142,0,0.006451613,0.01146789,-0.002952725,0.001423457,0.014175258,0.008032129,0.01981472,0.029711885,0.010695187,0.011627907
-0.007158596,0.006205798,-0.001453437,0.022304761,0.007133985,-0.003630876,-0.008855586,-0.007177883,0.00198548,0.003558719,0.002634324,-0.001626016,0,-0.001328268,0.001680772,0.001217656,0.008498092,0.005128205,0.028288543,0.007202881,0.011538462,-0.008976661,-0.009222654,0.011267606,-0.002409788,-0.002111814,-0.003285871,0.002946955,0.004888927,-0.012068966,0.000942112,-0.005119454,0.003056704,0.022964509,-0.001630371,0.010344828,0.03279148,0,0.010376959,-0.004561347,-0.006410256,-0.002267574,-0.005954444,0.012749828,-0.002541296,-0.013280212,0.001766339,-0.009618187,-0.003527337,-0.005747126
0.006100922,0.008904014,0.007277762,0.000909189,0.007099263,-0.002909287,0.019931271,0.007229777,0.016853145,0,0.011176463,0.009771987,0.025487256,0.005240337,0.003355904,0.002371542,0.012037833,0.018356827,-0.017685203,0.019803796,0.001901141,0.03442029,0.014781815,-0.002785515,0.014492668,0.022751243,0.012087912,0.028403526,0.003243428,0.041884817,0.016419159,0.003430532,0.024921965,0.016326531,0.001633034,-0.008532423,0.041044776,0.022720635,0.008174387,0.020655006,0.012903226,0.025,0.017938641,0.035698083,0.012738854,-0.0269179,0.015869018,0.024278988,0.014159292,0.011560694
-0.006063926,-0.002037697,0.001445036,0.021798295,-0.002354973,0.00729444,-0.001347709,-0.00119713,0.007794815,0.002364066,-0.001305776,0.006451613,-0.005847953,-0.006509659,-0.003344679,0.020019413,-0.001699235,0.005526574,0,-0.003506248,-0.007590133,0.019264448,0.000539904,0,0.016666731,0.009311689,0.001085776,0.008571429,-0.008082355,0.011725293,-0.001028912,-0.003418803,-0.003563131,-0.004016064,0,0.022375215,-0.017790811,0.005596802,0.007068607,0.007885141,0.004246285,-0.013303769,-0.010274612,0.013510554,-0.001257862,0.005532503,-0.015621126,0,0.001745201,0.005714286
-0.001663877,0.003407696,0.012987289,-0.00266659,-0.000771107,0.014498163,0.004048583,0.007186486,0.005800895,0.002358491,0.005216725,0.003205128,0.042647059,0.002636906,0.013422768,-0.002319496,0.008340426,-0.006472159,-0.023804761,0.012360159,0.007648184,0.008591065,0.001079225,-0.022346369,0.01405144,0.002563031,0.005422993,-0.006610009,0.008148212,0.023178808,-0.009063755,0,0,0.012096774,-0.002428921,-0.000841751,-0.003914544,0.009938664,0.007018993,0.012277846,-0.010570825,0.006741573,0.02673965,-0.00333599,0,-0.001375516,0.010579345,-0.004740698,-0.008710801,-0.005681818
0.010555529,0.02373161,0.029914193,0.030303008,-0.005496409,0.014997424,-0.000672043,0.02021318,0.006728678,0.022352941,0.003875816,0.014376997,0.011283498,0.011715326,0.026489967,0.011624441,0.003376097,0.021559301,0.024385246,-0.007040371,0.001897533,0.005110733,0.010236139,0.014285714,0.016166345,0.012269766,-0.018338727,0.013307985,0.024247065,0,-0.013200291,0.012006861,0.001195984,-0.001992032,0.00486967,0.00758214,0.014320922,0.012033965,0.016195162,0.018740646,0.006410256,0.033482143,0.021692506,0.003347156,0.002518892,0.017906336,0.01221336,0.004763279,0.005272408,0.002857143
0.01429358,0,0.001383077,0.002595081,0.00788636,0.000696015,0.00537996,0.003496921,0.009557795,0.0287687,0.00774788,0.007874016,0.011157601,0,0.032258353,0.019446081,0.003364738,0,-0.017803561,0.008795548,-0.001893939,-0.005084746,0.004268552,0.005633803,0.01818202,0.014141639,-0.018681319,-0.001876173,0.015698978,-0.001618123,0.011375606,0.006779661,0.010702737,-0.001996008,-0.002423035,0.004180602,0.011491988,0.018391954,0.023602986,0.005415717,0.010615711,0.028077754,0.009926228,0.000661795,0.010050251,0.01759134,0.00517114,0.021309199,0.005244755,0.005698006
-0.007046076,-0.008609111,-0.005524668,-0.011216538,0.001571215,-0.014765548,-0.002006689,-0.003484735,0.006620429,0.004474273,0.001922078,-0.0109375,-0.022068966,-0.010293036,0.001562592,0.011213873,0.001676727,0.00986892,0.018126273,0,0,0.001703578,-0.009026753,-0.011204482,0.011160495,-0.009960102,-0.011198208,-0.014097744,0.01709192,-0.008103728,-0.011247657,-0.005050505,-0.00176689,0.022,-0.010547505,-0.004163197,-0.0037655,0.005292449,-0.019314151,-0.004317959,0.00210084,-0.008403361,-0.025239778,0.001997571,-0.003731343,-0.006648936,-0.015433611,-0.009283571,-0.00173913,-0.002832861
0.004912728,0.00600149,0.0069442,0.01221647,0.000784375,0.007147795,0.00536193,0.016318167,0.002818666,0.002227171,0.003836781,0.001579779,0.001410437,0.010400085,-0.001560155,0.006688007,0.005021761,-0.009772477,-0.010002,0.003558719,0,0.035714286,-0.000536141,0.002832861,0.015452598,0.004526783,0.010192525,-0.001906578,0.021307389,0.026143791,0.023699178,-0.00676819,0.005896071,0.001956947,-0.001630937,0.005016722,0.040664712,0.002116689,-0.01085209,0.003241562,0,-0.023305085,0.002863497,-0.002653628,0.009987516,0.009370817,0.020900722,0.009370563,0.008710801,0.005681818
-0.015752415,0.002666379,-0.001379262,-0.012069029,-0.012508817,0.027628908,-0.000666667,-0.01605616,-0.009369144,-0.01,-0.00510046,-0.004731861,-0.004225352,-0.003859889,-0.010937358,-0.020952814,-0.011658894,-0.014727466,-0.00585977,-0.022606383,0.030360531,-0.011494253,-0.008041007,-0.008474576,-0.019565102,-0.015022452,-0.01793722,-0.005730659,-0.013462447,-0.017515924,-0.013067188,-0.011925043,-0.012888191,0.005859375,0.009852134,0.006655574,-0.017095623,-0.01267331,-0.013815522,0.001091584,-0.008385744,0,-0.007168677,0.009994463,-0.008652658,-0.027851459,0.001706069,-0.023208927,-0.008635579,-0.011299435
